,month,year,town,full_address,nearest_stn,dist_to_nearest_stn,dist_to_dhoby,degree_centrality,eigenvector_centrality,flat_model_type,remaining_lease_years,floor_area_sqm,storey_range,resale_price,predictions,error
99104,2,2021,JURONG WEST,339A KANG CHING ROAD,Lakeside,0.7125398362414371,14.48350055437212,0.0168067226890756,8.529382672827531e-05,"3 ROOM, Model A",90.16666666666669,67.0,07 TO 09,325000.0,325005.62,31.640625
93680,1,2021,CENTRAL AREA,535 UPPER CROSS STREET,Chinatown,0.2888197660942762,1.6122019334814055,0.0336134453781512,0.1559689699303292,"3 ROOM, Improved",58.66666666666666,60.0,10 TO 12,426000.0,426008.25,68.0625
110286,2,2021,TAMPINES,495C TAMPINES STREET 43,Tampines East,0.8776210228403716,13.743954245051045,0.0168067226890756,0.0001267761858697,"EXECUTIVE, Apartment",71.91666666666667,147.0,04 TO 06,610000.0,609989.4,112.890625
96173,1,2021,GEYLANG,50 CIRCUIT ROAD,Mattar,0.3350620138027558,5.260870632007899,0.0168067226890756,0.004896825116085,"3 ROOM, Standard",47.0,56.0,04 TO 06,230000.0,229988.27,137.695556640625
91822,6,2021,BUKIT MERAH,45 TELOK BLANGAH DRIVE,Telok Blangah,0.1148373975005762,5.045127726564922,0.0168067226890756,0.018783354891616,"2 ROOM, Improved",53.66666666666666,45.0,04 TO 06,238800.0,238824.48,599.484619140625
100585,3,2021,KALLANG/WHAMPOA,2 BEACH ROAD,Lavender,0.4387509638147342,2.195772755210384,0.0168067226890756,0.1180145926353187,"3 ROOM, Improved",57.5,68.0,07 TO 09,333000.0,332973.7,692.34765625
92691,2,2021,BUKIT PANJANG,468 SEGAR ROAD,Bukit Panjang,1.588946674007728,12.655432246391964,0.0084033613445378,7.006215272536962e-05,"EXECUTIVE, Premium Apartment",80.5,130.0,07 TO 09,485000.0,484964.9,1231.5712890625
87730,5,2021,ANG MO KIO,182 ANG MO KIO AVENUE 5,Yio Chu Kang,1.0602068628742394,8.705740699759463,0.0168067226890756,0.0024585694184923,"3 ROOM, New Generation",59.0,68.0,01 TO 03,260000.0,259964.06,1291.50390625
105982,10,2021,QUEENSTOWN,162 MEI LING STREET,Queenstown,0.4452627199222982,4.839831411918626,0.0168067226890756,0.0083419038710901,"3 ROOM, Improved",47.333333333333336,66.0,07 TO 09,325000.0,324959.4,1647.8525390625
110236,2,2021,TAMPINES,902 TAMPINES AVENUE 4,Tampines,0.5791717087648031,11.884379710864296,0.0336134453781512,0.0002286842136511,"4 ROOM, Model A",62.5,104.0,10 TO 12,460000.0,459955.44,1985.81640625
105713,7,2021,QUEENSTOWN,83 COMMONWEALTH CLOSE,Commonwealth,0.3403908692874145,5.086448273746496,0.0168067226890756,0.0053501243776893,"3 ROOM, Standard",44.583333333333336,60.0,10 TO 12,310000.0,309953.94,2121.75390625
105332,2,2021,QUEENSTOWN,87 DAWSON ROAD,Queenstown,0.4398380500899053,4.02880771375886,0.0168067226890756,0.0083419038710901,"3 ROOM, Premium Apartment",94.5,65.0,25 TO 27,646888.0,646835.75,2730.0625
87396,1,2021,ANG MO KIO,456 ANG MO KIO AVENUE 10,Ang Mo Kio,1.0578949601375884,7.653195746801144,0.0168067226890756,0.0062428202742163,"3 ROOM, New Generation",58.083333333333336,75.0,10 TO 12,306000.0,306052.88,2795.765625
113145,1,2021,WOODLANDS,804 WOODLANDS STREET 81,Woodlands,0.3634904079895212,16.855191354282546,0.0168067226890756,2.4186697290042298e-05,"EXECUTIVE, Maisonette",66.83333333333333,149.0,10 TO 12,605000.0,605061.2,3743.91015625
96604,8,2021,GEYLANG,34 CIRCUIT ROAD,MacPherson,0.3720428234617248,5.690936916242183,0.0336134453781512,0.011178362753157,"3 ROOM, Standard",44.5,60.0,04 TO 06,250000.0,250069.05,4767.470947265625
112376,4,2021,TOA PAYOH,8 LORONG 7 TOA PAYOH,Braddell,1.099274669858204,4.446538953800894,0.0168067226890756,0.017995366716708,"3 ROOM, Improved",48.41666666666666,66.0,04 TO 06,240000.0,240072.53,5260.7822265625
106718,1,2021,SENGKANG,164B RIVERVALE CRESCENT,Sengkang,1.3335428489979717,12.125692801815331,0.0168067226890756,0.0002334604445631,"3 ROOM, Model A",95.41666666666669,68.0,04 TO 06,330000.0,329927.4,5269.8525390625
101243,12,2021,KALLANG/WHAMPOA,97 WHAMPOA DRIVE,Boon Keng,0.7577411287585436,2.6475456392636363,0.0168067226890756,0.0530041642148388,"3 ROOM, Improved",57.66666666666666,66.0,10 TO 12,307000.0,307082.62,6826.890625
88973,5,2021,BEDOK,144 BEDOK RESERVOIR ROAD,Kaki Bukit,0.3868456960262419,8.41022725381934,0.0168067226890756,0.0017427957426118,"3 ROOM, Simplified",64.83333333333333,64.0,01 TO 03,305000.0,304908.4,8389.4150390625
